id,satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,work_accident,left,promotion_last_5years,department,salary,,
c161,0.1,0.95,7,301,4,0,1,0,marketing,low,,
c162,0.9,0.98,5,243,6,0,1,0,marketing,low,,
c163,0.45,0.51,2,147,3,0,1,0,sales,low,,
c164,0.79,0.89,5,239,5,0,1,0,sales,low,,
c165,0.9,0.99,5,260,5,0,1,0,sales,low,,
c166,0.11,0.84,7,296,4,0,1,0,sales,low,,
c167,0.43,0.55,2,129,3,0,1,0,sales,low,,
c168,0.31,0.54,5,132,5,0,1,0,sales,low,,
c169,0.32,0.5,2,135,5,0,1,0,sales,low,,
c170,0.45,0.57,2,158,3,0,1,0,sales,low,,
c171,0.81,0.99,4,259,5,0,1,0,sales,low,,
c172,0.41,0.46,2,160,3,0,1,1,sales,low,,
c173,0.11,0.78,7,278,4,0,1,0,sales,low,,
c174,0.1,0.88,6,284,4,0,1,0,sales,low,,
c175,0.7,0.53,2,274,4,0,1,0,sales,low,,
c176,0.54,0.74,4,164,2,0,1,0,sales,low,,
c177,0.41,0.48,2,148,3,0,1,0,sales,low,,
c178,0.38,0.5,2,140,3,0,1,0,sales,medium,,
c179,0.37,0.51,2,127,3,0,1,0,sales,medium,,
c180,0.11,0.85,6,308,5,0,1,0,sales,medium,,
c181,0.4,0.47,2,146,3,0,1,0,sales,medium,,
c182,0.1,0.84,6,261,4,0,1,0,accounting,medium,,
c183,0.89,0.99,5,257,5,0,1,0,accounting,medium,,
c184,0.11,0.8,6,285,4,0,1,0,accounting,medium,,
c185,0.36,0.55,2,141,3,0,1,0,hr,medium,,
c186,0.4,0.46,2,127,3,0,1,0,hr,medium,,
c187,0.09,0.85,6,297,4,0,1,0,hr,medium,,
c188,0.4,0.46,2,143,3,0,1,0,hr,medium,,
c189,0.37,0.55,2,152,3,0,1,0,technical,medium,,
c190,0.44,0.51,2,156,3,0,1,0,technical,high,,
c191,0.09,0.8,7,283,5,0,1,0,technical,low,,
c192,0.92,0.87,4,226,6,1,1,0,technical,medium,,
c193,0.74,0.91,4,232,5,0,1,0,technical,medium,,
c194,0.09,0.82,6,249,4,0,1,0,technical,medium,,
c195,0.89,0.95,4,275,5,0,1,0,technical,medium,,
c196,0.09,0.8,6,304,4,0,1,0,technical,low,,
c197,0.27,0.54,7,278,3,0,1,0,technical,low,,
c198,0.1,0.91,6,287,4,0,1,0,technical,low,,
c199,0.1,0.89,7,285,4,0,1,0,technical,low,,
c200,0.77,0.94,5,226,6,0,1,0,support,low,,
c201,0.9,0.82,5,259,5,0,1,0,support,low,,
c202,0.39,0.5,2,135,3,0,1,0,support,low,,
c203,0.76,1,5,219,5,0,1,0,support,low,,
c204,0.1,0.93,6,256,4,0,1,0,support,low,,
c205,0.87,0.9,5,254,6,0,1,0,support,low,,
c206,0.38,0.5,2,153,3,0,1,0,support,low,,
c207,0.77,0.99,5,228,5,0,1,0,support,low,,
c208,0.78,0.87,4,228,5,0,1,0,support,low,,
c209,0.44,0.5,2,128,3,0,1,0,support,low,,
c210,0.38,0.52,2,153,3,0,1,0,support,low,,
c211,0.43,0.46,2,156,3,0,1,0,technical,low,,
c212,0.39,0.5,4,294,3,0,1,0,technical,low,,
c213,0.88,1,5,219,5,0,1,0,technical,low,,
c214,0.45,0.46,2,153,3,0,1,0,management,low,,
c215,0.4,0.53,2,151,3,0,1,0,IT,low,,
c216,0.36,0.51,2,155,3,0,1,0,IT,low,,
c217,0.36,0.48,2,158,3,0,1,0,IT,low,,
c218,0.9,0.98,5,245,5,0,1,0,IT,low,,
c219,0.43,0.53,2,131,3,0,1,0,IT,low,,
c220,0.89,0.87,5,225,5,0,1,0,product_management,low,,
c221,0.1,0.84,6,286,4,0,1,0,product_management,low,,
c222,0.37,0.5,2,135,3,0,1,0,product_management,low,,
c223,0.37,0.51,2,153,3,0,1,0,product_management,low,,
c224,0.87,0.9,5,252,5,0,1,0,IT,low,,
c225,0.4,0.56,2,149,3,0,1,0,accounting,low,,
c226,0.9,0.97,4,258,5,0,1,0,accounting,low,,
c227,0.37,0.46,2,158,3,0,1,0,hr,low,,
c228,0.44,0.54,2,149,3,0,1,0,hr,low,,
c229,0.85,0.95,5,236,5,0,1,0,hr,low,,
c230,0.78,0.98,5,239,6,0,1,0,marketing,low,,
c231,0.42,0.47,2,159,3,0,1,0,marketing,low,,
c232,0.92,0.99,5,255,6,0,1,0,sales,low,,
c233,0.11,0.83,6,244,4,0,1,0,accounting,low,,
c234,0.42,0.56,2,134,3,0,1,0,support,low,,
c235,0.48,0.57,4,270,4,0,1,0,technical,low,,
c236,0.83,0.85,4,255,5,0,1,0,management,low,,
c237,0.4,0.53,2,151,3,0,1,0,marketing,low,,
c238,0.43,0.45,2,135,3,0,1,0,marketing,low,,
c239,0.43,0.53,2,146,3,0,1,0,marketing,low,,
c240,0.1,0.97,7,254,4,0,1,0,sales,low,,
c241,0.1,0.87,7,289,4,0,1,0,sales,low,,
c242,0.37,0.46,2,156,3,0,1,0,sales,low,,
c243,0.38,0.53,2,156,3,0,1,0,sales,low,,
c244,0.4,0.5,2,128,3,0,1,0,sales,low,,
c245,0.89,0.86,5,275,5,0,1,0,sales,low,,
c246,0.45,0.46,2,155,3,0,1,0,sales,low,,
c247,0.37,0.48,2,159,3,0,1,0,sales,low,,
c248,0.46,0.49,2,148,3,0,1,0,sales,low,,
c249,0.87,0.91,4,228,5,0,1,0,sales,low,,
c250,0.11,0.84,6,298,4,0,1,0,sales,low,,
c251,0.79,0.87,5,261,5,0,1,0,sales,low,,
c252,0.79,0.92,5,254,6,0,1,0,sales,low,,
c253,0.19,0.59,7,192,3,0,1,0,sales,low,,
c254,0.87,0.98,4,248,5,0,1,0,sales,low,,
c255,0.6,0.92,2,258,5,0,1,0,sales,low,,
c256,0.44,0.45,2,156,3,0,1,0,sales,medium,,
c257,0.11,0.81,6,266,4,1,1,0,sales,medium,,
c258,0.42,0.54,2,156,3,0,1,0,sales,medium,,
c259,0.88,0.88,5,232,5,1,1,0,accounting,medium,,
c260,0.11,0.84,6,287,4,0,1,0,accounting,medium,,
c261,0.46,0.46,2,154,3,0,1,0,accounting,medium,,
c262,0.82,0.97,5,263,5,0,1,0,hr,medium,,
c263,0.44,0.56,2,131,3,0,1,0,hr,medium,,
c264,0.11,0.78,6,260,4,0,1,0,hr,medium,,
c265,0.42,0.5,2,139,3,0,1,0,hr,medium,,
c266,0.84,0.93,4,251,5,0,1,0,technical,medium,,
c267,0.11,0.95,6,286,4,0,1,0,technical,medium,,
c268,0.45,0.53,2,129,3,0,1,0,technical,high,,
c269,0.38,0.56,2,156,3,0,1,0,technical,low,,
c270,0.38,0.86,6,139,6,0,1,0,technical,medium,,
c271,0.44,0.51,2,127,3,0,1,0,technical,medium,,
c272,0.11,0.84,6,251,4,0,1,0,technical,medium,,
c273,0.81,0.93,5,270,5,0,1,0,technical,medium,,
c274,0.09,0.96,6,296,4,0,1,0,technical,low,,
c275,0.11,0.9,6,254,4,0,1,0,technical,low,,
c276,0.81,0.95,5,238,6,0,1,0,technical,low,,
c277,0.1,0.97,6,267,4,1,1,0,support,low,,
c278,0.74,0.89,5,229,6,0,1,0,support,low,,
c279,0.09,0.78,6,254,4,0,1,0,support,low,,
c280,0.82,0.81,4,233,4,1,1,0,support,low,,
c281,0.1,0.98,6,268,4,0,1,0,support,low,,
c282,0.27,0.56,3,301,3,0,1,0,support,low,,
c283,0.83,0.92,5,267,6,0,1,0,support,low,,
c284,0.1,0.93,6,289,4,1,1,0,support,low,,
c285,0.38,0.47,2,144,3,0,1,0,support,low,,
c286,0.4,0.56,2,148,3,0,1,0,support,low,,
c287,0.11,0.83,6,306,4,0,1,0,support,low,,
c288,0.11,0.79,6,292,4,0,1,1,technical,low,,
c289,0.82,0.91,5,232,5,0,1,0,technical,low,,
c290,0.36,0.48,2,137,3,0,1,0,technical,low,,
c291,0.4,0.46,2,128,3,0,1,0,management,low,,
c292,0.87,0.84,5,231,5,0,1,0,IT,low,,
c293,0.41,0.49,2,146,3,0,1,0,IT,low,,
c294,0.11,0.91,6,308,4,1,1,0,IT,low,,
c295,0.1,0.93,6,253,4,0,1,0,IT,medium,,
c296,0.38,0.51,2,146,3,0,1,0,IT,medium,,
c297,0.39,0.55,2,156,3,0,1,0,product_management,medium,,
c298,0.4,0.52,2,147,3,0,1,0,product_management,medium,,
c299,0.45,0.48,2,136,3,0,1,0,product_management,medium,,
c300,0.74,0.84,5,249,5,0,1,0,product_management,medium,,
c301,0.45,0.55,2,151,3,0,1,0,IT,medium,,
c302,0.12,1,3,278,4,0,1,0,RandD,medium,,
c303,0.1,0.77,7,250,5,0,1,0,RandD,medium,,
c304,0.37,0.55,2,127,3,0,1,0,RandD,medium,,
c305,0.89,0.87,5,255,5,0,1,0,RandD,medium,,
c306,0.45,0.47,2,135,3,0,1,0,RandD,medium,,
c307,0.37,0.46,2,149,3,0,1,0,marketing,high,,
c308,0.11,0.81,5,287,4,0,1,0,sales,low,,
c309,0.41,0.48,2,145,3,0,1,0,accounting,medium,,
c310,0.1,0.94,6,285,4,0,1,0,support,medium,,
c311,0.1,0.93,7,305,4,0,1,0,technical,medium,,
c312,0.11,0.95,7,300,4,0,1,0,management,medium,,
c313,0.4,0.54,2,139,3,0,1,0,marketing,low,,
c314,0.41,0.49,2,130,3,0,1,0,marketing,low,,
c315,0.1,0.81,6,268,4,0,1,0,marketing,low,,
c316,0.73,0.86,4,245,6,0,1,0,sales,low,,
c317,0.43,0.47,2,135,3,0,1,0,sales,low,,
c318,0.37,0.46,2,153,3,0,1,0,sales,low,,
c319,0.11,0.94,6,276,4,0,1,0,sales,low,,
c320,0.4,0.46,2,130,3,0,1,0,sales,low,,
c321,0.41,0.54,2,153,3,1,1,0,sales,low,,
c322,0.82,0.84,5,244,5,0,1,0,sales,low,,
c323,0.61,0.47,2,253,3,0,1,0,sales,low,,
c324,0.11,0.91,7,287,4,0,1,0,sales,low,,
c325,0.37,0.45,2,131,3,0,1,0,sales,low,,
c326,0.41,0.52,2,135,3,0,1,0,sales,low,,
c327,0.37,0.52,2,157,3,0,1,0,sales,low,,
c328,0.88,0.99,5,262,6,0,1,0,sales,low,,
c329,0.1,0.85,6,266,4,0,1,0,sales,low,,
c330,0.44,0.48,2,148,3,0,1,0,sales,low,,
c331,0.38,0.57,2,140,3,0,1,0,sales,low,,
c332,0.11,0.85,7,302,4,0,1,0,sales,low,,
c333,0.09,0.98,6,271,4,0,1,0,sales,low,,
c334,0.45,0.52,2,145,3,0,1,0,sales,medium,,
c335,0.1,0.81,6,290,4,0,1,0,accounting,medium,,
c336,0.45,0.47,2,151,3,0,1,0,accounting,medium,,
c337,0.77,0.87,5,266,5,0,1,0,accounting,medium,,
c338,0.44,0.51,2,140,3,0,1,0,hr,medium,,
c339,0.39,0.5,2,142,3,0,1,0,hr,medium,,
c340,0.1,0.91,6,246,4,0,1,0,hr,medium,,
c341,0.09,0.89,7,308,5,0,1,0,hr,medium,,
c342,0.37,0.47,2,141,3,0,1,0,technical,medium,,
c343,0.9,1,5,232,5,0,1,0,technical,medium,,
c344,0.41,0.56,2,143,3,0,1,0,technical,medium,,
c345,0.37,0.52,2,155,3,0,1,0,technical,medium,,
c346,0.1,0.86,6,278,4,0,1,0,technical,high,,
c347,0.81,1,4,253,5,0,1,0,technical,low,,
c348,0.11,0.8,6,282,4,0,1,0,technical,medium,,
c349,0.11,0.84,7,264,4,0,1,0,technical,medium,,
c350,0.4,0.46,2,149,3,0,1,0,technical,medium,,
c351,0.09,0.8,6,304,5,0,1,0,technical,medium,,
c352,0.48,0.93,3,219,6,0,1,0,technical,low,,
c353,0.91,0.91,4,262,6,0,1,0,support,low,,
c354,0.43,0.57,2,135,3,0,1,0,support,low,,
c355,0.33,0.88,6,219,5,0,1,0,support,low,,
c356,0.41,0.57,2,136,3,0,1,0,support,low,,
c357,0.41,0.55,2,154,3,0,1,0,support,low,,
c358,0.37,0.54,2,149,3,0,1,0,support,low,,
c359,0.31,0.62,6,135,5,0,1,0,support,low,,
c360,0.09,0.91,6,275,4,0,1,0,support,low,,
c361,0.1,0.87,6,290,4,0,1,0,support,low,,
c362,0.76,0.9,4,263,5,0,1,0,support,low,,
c363,0.41,0.54,2,145,3,0,1,0,support,low,,
c364,0.72,0.96,5,267,5,0,1,0,technical,low,,
c365,0.4,0.5,2,141,3,1,1,0,technical,low,,
c366,0.91,0.87,4,235,5,0,1,0,technical,low,,
c367,0.1,0.83,6,258,4,0,1,0,management,low,,
c368,0.4,0.56,2,131,3,0,1,0,IT,low,,
c369,0.82,0.86,5,243,5,0,1,0,IT,low,,
c370,0.1,0.82,6,266,4,0,1,0,IT,low,,
c371,0.37,0.45,2,142,3,0,1,0,IT,low,,
c372,0.36,0.51,2,135,3,0,1,0,IT,low,,
c373,0.39,0.48,2,141,3,0,1,0,product_management,medium,,
c374,0.36,0.57,2,142,3,0,1,0,product_management,medium,,
c375,0.86,0.84,5,254,5,0,1,0,product_management,medium,,
c376,0.73,0.99,5,262,5,0,1,0,product_management,medium,,
c377,0.56,0.71,4,296,2,0,1,0,IT,medium,,
c378,0.44,0.56,2,158,3,0,1,0,accounting,medium,,
c379,0.31,0.56,4,238,2,0,1,0,accounting,medium,,
c380,0.77,0.93,4,231,5,0,1,0,hr,medium,,
c381,0.44,0.45,2,156,3,0,1,0,hr,medium,,
c382,0.38,0.46,2,145,3,0,1,0,hr,medium,,
c383,0.45,0.48,2,144,3,0,1,0,marketing,medium,,
c384,0.38,0.51,2,159,3,0,1,0,sales,medium,,
c385,0.36,0.48,2,156,3,0,1,0,accounting,high,,
c386,0.75,0.9,5,256,5,0,1,0,support,low,,
c387,0.1,0.93,6,298,4,0,1,0,technical,medium,,
c388,0.1,0.97,6,247,4,0,1,0,management,medium,,
c389,0.45,0.5,2,157,3,0,1,0,marketing,medium,,
c390,0.42,0.57,2,154,3,1,1,0,marketing,medium,,
c391,0.78,1,4,253,5,0,1,0,marketing,low,,
c392,0.45,0.55,2,148,3,0,1,0,sales,low,,
c393,0.84,1,4,261,5,0,1,0,sales,low,,
c394,0.11,0.93,6,282,4,0,1,0,sales,low,,
c395,0.42,0.56,2,133,3,0,1,0,sales,low,,
c396,0.45,0.46,2,128,3,0,1,0,sales,low,,
c397,0.46,0.57,2,139,3,0,1,0,sales,low,,
c398,0.09,0.79,6,293,5,0,1,0,sales,low,,
c399,0.87,0.83,4,265,6,0,1,0,sales,low,,
c400,0.1,0.87,6,250,4,0,1,0,sales,low,,
c401,0.91,1,5,251,6,0,1,0,sales,low,,
c402,0.76,0.92,4,246,5,0,1,0,sales,low,,
c403,0.74,1,5,275,5,0,1,0,sales,low,,
c404,0.92,0.93,5,240,5,0,1,0,sales,low,,
c405,0.76,0.87,5,245,5,0,1,0,sales,low,,
c406,0.47,0.5,4,254,4,0,1,0,sales,low,,
c407,0.73,0.99,5,241,5,0,1,0,sales,low,,
c408,0.09,0.94,6,257,4,0,1,0,sales,low,,
c409,0.91,0.92,4,246,5,0,1,0,sales,low,,
c410,0.82,0.98,4,233,5,0,1,0,sales,low,,
c411,0.28,0.45,6,218,4,0,1,0,accounting,low,,
c412,0.84,0.99,4,262,6,0,1,0,accounting,medium,,
c413,0.45,0.53,2,138,3,0,1,0,accounting,medium,,
c414,0.45,0.54,2,142,3,0,1,0,hr,medium,,
c415,0.91,0.97,5,233,5,0,1,0,hr,medium,,
c416,0.42,0.48,2,155,3,0,1,0,hr,medium,,
c417,0.82,1,4,229,6,0,1,0,hr,medium,,
c418,0.11,0.9,6,264,4,0,1,0,technical,medium,,
c419,0.42,0.53,3,199,4,0,1,0,technical,medium,,
c420,0.82,0.85,4,223,5,0,1,0,technical,medium,,
c421,0.09,0.96,6,268,4,0,1,0,technical,medium,,
c422,0.1,0.94,6,287,4,0,1,0,technical,medium,,
c423,0.86,1,5,257,5,0,1,0,technical,medium,,
c424,0.4,0.46,2,143,3,0,1,0,technical,high,,
c425,0.45,0.46,2,130,3,0,1,0,technical,low,,
c426,0.42,0.51,2,136,3,0,1,0,technical,medium,,
c427,0.74,0.92,4,261,5,0,1,0,technical,medium,,
c428,0.55,0.6,3,180,4,0,1,0,technical,medium,,
c429,0.37,0.45,2,126,3,0,1,0,support,medium,,
c430,0.41,0.52,2,127,3,1,1,0,support,low,,
c431,0.89,0.65,5,195,6,0,1,0,support,low,,
c432,0.41,0.57,2,160,3,0,1,0,support,low,,
c433,0.44,0.51,2,150,3,0,1,0,support,low,,
c434,0.87,0.84,4,264,6,0,1,0,support,low,,
c435,0.1,0.84,6,309,4,0,1,0,support,low,,
c436,0.41,0.47,2,135,3,0,1,0,support,low,,
c437,0.11,0.85,6,261,4,0,1,0,support,low,,
c438,0.43,0.53,2,160,3,0,1,0,support,low,,
c439,0.77,0.9,4,237,5,0,1,0,support,low,,
c440,0.41,0.52,2,136,3,0,1,0,technical,low,,
c441,0.41,0.48,2,139,3,0,1,0,technical,low,,
c442,0.36,0.78,2,151,4,0,1,0,technical,low,,
c443,0.77,1,5,229,5,0,1,0,management,low,,
c444,0.81,0.98,5,245,5,0,1,0,IT,low,,
c445,0.39,0.54,2,127,3,0,1,0,IT,low,,
c446,0.09,0.94,6,283,5,0,1,0,IT,low,,
c447,0.44,0.46,2,143,3,0,1,0,IT,low,,
c448,0.1,0.84,5,298,4,0,1,0,IT,low,,
c449,0.36,0.48,2,159,3,0,1,0,product_management,low,,
c450,0.81,0.92,5,239,5,0,1,0,product_management,low,,
c451,0.81,0.9,4,226,5,0,1,0,product_management,medium,,
c452,0.85,0.98,5,248,5,0,1,0,product_management,medium,,
c453,0.1,0.87,6,286,4,0,1,0,IT,medium,,
c454,0.37,0.54,2,145,3,0,1,0,RandD,medium,,
c455,0.09,0.97,7,254,4,1,1,0,RandD,medium,,
c456,0.44,0.53,2,127,3,0,1,0,RandD,medium,,
c457,0.86,0.93,5,223,5,0,1,0,RandD,medium,,
c458,0.77,1,4,255,5,0,1,0,RandD,medium,,
c459,0.41,0.48,2,136,3,0,1,0,marketing,medium,,
